experiment,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,time_sec,include_proj_layers,weight_decay
ft0_lr002,1,2.0483002395629883,33.62,83.98,1.7668804044723512,31.7,85.9625,0.02,17.068267345428467,0,0.0
ft0_lr002,2,1.722168994140625,33.88,88.38,1.6805435199737548,40.05,91.5375,0.01999657324975557,17.399121522903442,0,0.0
ft0_lr002,3,1.545576139831543,41.3,91.12,1.5223927593231201,44.4625,93.125,0.019986295347545736,17.961121320724487,0,0.0
ft0_lr002,4,1.4283604888916015,47.84,93.72,1.4734699649810792,46.3625,92.75,0.01996917333733128,13.109342336654663,0,0.0
ft0_lr002,5,1.3297298721313477,50.62,95.18,1.8579319629669189,42.5,91.575,0.01994521895368273,20.75367546081543,0,0.0
ft0_lr002,6,1.2257109107971191,54.62,95.4,1.1714159641265869,56.4875,96.65,0.019914448613738103,28.613085746765137,0,0.0
ft0_lr002,7,1.1663585334777833,57.86,96.1,1.1623219475746154,57.625,96.025,0.019876883405951378,27.714932918548584,0,0.0
ft0_lr002,8,1.0965734992980958,60.4,96.5,1.1832619714736938,58.2125,95.3,0.019832549075639548,28.27511978149414,0,0.0
ft0_lr002,9,1.015270499420166,63.74,97.34,1.2927983379364014,55.45,96.125,0.019781476007338056,28.12411403656006,0,0.0
ft0_lr002,10,0.9861399116516113,63.72,97.62,1.1717577180862426,58.1875,96.15,0.019723699203976763,25.146028757095337,0,0.0
ft0_lr002,11,0.917101789855957,66.64,97.78,0.8722445139884949,68.2875,98.25,0.01965925826289068,26.11029028892517,0,0.0
ft0_lr002,12,0.8682459587097168,69.62,98.04,1.043710392475128,64.05,96.4,0.01958819734868193,27.091838359832764,0,0.0
ft0_lr002,13,0.8364015151977539,70.16,98.08,1.0393308815956115,64.4,97.3,0.019510565162951535,19.887314558029175,0,0.0
ft0_lr002,14,0.8210859596252441,70.4,98.22,0.9961397981643677,64.0375,97.8125,0.019426414910921785,12.543466567993164,0,0.0
ft0_lr002,15,0.7761502201080323,71.88,98.64,1.0461847262382507,64.025,97.475,0.019335804264972018,18.598115921020508,0,0.0
ft0_lr002,16,0.753231400680542,73.22,98.46,0.8337807462215424,70.3,98.325,0.01923879532511287,19.213643074035645,0,0.0
ft0_lr002,17,0.7354648330688477,73.8,98.34,0.896331832408905,69.175,98.1375,0.01913545457642601,19.18630075454712,0,0.0
ft0_lr002,18,0.7490411277770996,72.74,98.46,0.8313680696487427,71.75,97.9875,0.01902585284349861,19.84339451789856,0,0.0
ft0_lr002,19,0.7004024338722229,74.02,98.72,0.8536407916545868,71.0,98.1125,0.018910065241883683,22.42009663581848,0,0.0
ft0_lr002,20,0.6531633125305176,76.9,99.04,1.0311363701820373,68.0125,97.4125,0.01878817112661966,24.75705862045288,0,0.0
ft0_lr002,21,0.7038695724487305,74.42,98.46,0.867165915966034,70.8875,98.0375,0.018660254037844392,28.883216619491577,0,0.0
ft0_lr002,22,0.6456180896759033,76.5,98.96,0.8153765799999237,72.525,98.5875,0.018526401643540927,28.640761375427246,0,0.0
ft0_lr002,23,0.7074639712333679,74.88,98.78,0.8286261591911316,72.6875,98.325,0.018386705679454246,25.404959678649902,0,0.0
ft0_lr002,24,0.6218745094299316,77.66,99.2,0.8375109539031983,71.625,98.0,0.01824126188622016,29.769864559173584,0,0.0
ft0_lr002,25,0.5953896446228027,78.62,99.02,0.8336083369255066,72.9125,98.5625,0.01809016994374948,29.14581561088562,0,0.0
ft0_lr002,26,0.5904731021881103,79.02,99.24,0.7265556602478027,75.3125,98.7625,0.017933533402912358,29.282302379608154,0,0.0
ft0_lr002,27,0.5647463069915771,79.96,99.08,0.7824382421970367,73.4875,98.525,0.017771459614569714,29.12413215637207,0,0.0
ft0_lr002,28,0.5483906269073486,80.86,99.2,0.874362964630127,72.0375,98.4625,0.017604059656000315,28.601447343826294,0,0.0
ft0_lr002,29,0.5387530090332031,80.44,99.32,0.7462606797218323,75.3,98.625,0.017431448254773947,25.001868963241577,0,0.0
ft0_lr002,30,0.5187468635559082,81.12,99.12,0.9993923268318177,70.425,96.7625,0.01725374371012288,28.524729251861572,0,0.0
ft0_lr002,31,0.5115015825271606,81.46,99.42,0.7865426237583161,74.3,98.4625,0.01707106781186548,28.211630821228027,0,0.0
ft0_lr002,32,0.5070901649475098,82.0,99.34,0.7837777705192566,74.0125,98.3,0.01688354575693754,26.656348943710327,0,0.0
ft0_lr002,33,0.44149446954727173,84.48,99.4,0.8490486085414887,72.9625,97.9625,0.016691306063588582,23.412208080291748,0,0.0
ft0_lr002,34,0.4550721311569214,84.52,99.44,0.7997985777854919,75.775,98.1625,0.016494480483301835,26.231982231140137,0,0.0
ft0_lr002,35,0.47827548513412477,83.38,99.4,0.7790368025302887,75.2375,98.425,0.016293203910498374,25.90141463279724,0,0.0
ft0_lr002,36,0.4476684741973877,84.06,99.58,0.8057417514324188,74.2125,98.4625,0.016087614290087204,26.44601082801819,0,0.0
ft0_lr002,37,0.4687003949403763,84.0,99.46,0.8452871022224426,73.225,98.6125,0.01587785252292473,26.622823476791382,0,0.0
ft0_lr002,38,0.39788904514312745,86.02,99.6,0.7512587940692902,75.9,98.525,0.015664062369248326,26.344969034194946,0,0.0
ft0_lr002,39,0.40285885610580446,85.86,99.52,0.6914578354358674,77.6625,98.8375,0.015446390350150269,20.92994213104248,0,0.0
ft0_lr002,40,0.3777073928833008,87.0,99.62,0.7475749955177308,77.5125,98.65,0.015224985647159486,24.00408124923706,0,0.0
ft0_lr002,41,0.38230884294509887,86.84,99.62,0.7484477684497833,77.0125,98.725,0.014999999999999998,24.238306760787964,0,0.0
ft0_lr002,42,0.349671755027771,87.86,99.72,0.7541098079681396,77.6625,98.4875,0.014771587602596083,22.103180646896362,0,0.0
ft0_lr002,43,0.3666804446220398,87.74,99.58,0.7710076299905777,77.4,98.625,0.014539904997395464,25.033323049545288,0,0.0
ft0_lr002,44,0.36885882396698,87.36,99.52,0.685674514055252,79.1875,98.575,0.014305110968082948,24.99425959587097,0,0.0
ft0_lr002,45,0.35601447925567625,87.38,99.66,0.7252499876022339,78.475,98.6625,0.014067366430757998,25.6006977558136,0,0.0
ft0_lr002,46,0.3539179214954376,87.74,99.6,0.7253201465606689,78.125,98.7375,0.013826834323650892,25.675231218338013,0,0.0
ft0_lr002,47,0.31682515115737914,88.7,99.72,0.7049372246265412,79.2,98.7625,0.013583679495453,25.55203652381897,0,0.0
ft0_lr002,48,0.296875260925293,89.94,99.8,0.7037059044837952,79.125,98.65,0.013338068592337703,25.17116928100586,0,0.0
ft0_lr002,49,0.3086294786214828,89.0,99.82,0.6708864357471466,79.9,98.875,0.01309016994374947,18.038039445877075,0,0.0
ft0_lr002,50,0.29540706062316896,89.3,99.64,0.7510688400268555,77.6125,98.275,0.012840153447039223,19.722076654434204,0,0.0
ft0_lr002,51,0.2949505490779877,89.82,99.72,0.771263326883316,78.7125,98.4375,0.012588190451025202,17.699980974197388,0,0.0
ft0_lr002,52,0.2666391119003296,90.54,99.84,0.7853888182640075,78.4125,98.6875,0.01233445363855905,15.780698537826538,0,0.0
ft0_lr002,53,0.23938851718902587,92.0,99.8,0.9707420864105225,74.9,97.8375,0.012079116908177586,19.43235731124878,0,0.0
ft0_lr002,54,0.2511553647994995,91.34,99.82,0.8366177752017975,77.35,98.4375,0.011822355254921469,19.395613193511963,0,0.0
ft0_lr002,55,0.2732723080635071,90.48,99.78,0.7706144750118256,79.325,98.375,0.011564344650402304,19.366416454315186,0,0.0
ft0_lr002,56,0.25278850355148313,91.6,99.84,0.7221558003425598,79.9875,98.8375,0.011305261922200511,19.295875787734985,0,0.0
ft0_lr002,57,0.23016009197235107,92.46,99.72,0.8173235218524932,77.6,98.525,0.01104528463267653,14.203916788101196,0,0.0
ft0_lr002,58,0.2304977430343628,91.96,99.88,0.6908670308589935,80.45,98.9125,0.010784590957278446,20.03989028930664,0,0.0
ft0_lr002,59,0.23756007332801818,91.98,99.94,0.8081243481636048,78.5,98.775,0.010523359562429432,19.998053312301636,0,0.0
ft0_lr002,60,0.2014183099269867,92.8,99.92,0.8098781119585037,78.525,98.55,0.010261769483078727,14.012455224990845,0,0.0
ft0_lr002,61,0.19000428957939147,93.58,99.86,0.8109878990650177,79.3,98.4625,0.009999999999999998,19.46632695198059,0,0.0
ft0_lr002,62,0.19592482624053956,93.36,99.9,0.7683707196712494,80.05,98.6625,0.009738230516921267,19.599450826644897,0,0.0
ft0_lr002,63,0.21428727254867555,92.86,99.9,0.7304947212934494,80.2375,98.5875,0.009476640437570561,19.550230264663696,0,0.0
ft0_lr002,64,0.18168777861595153,93.92,99.9,0.7428099586963653,80.1875,98.7,0.00921540904272155,19.606802225112915,0,0.0
ft0_lr002,65,0.2042156553030014,92.94,99.96,0.7285764775276184,80.8125,98.8875,0.008954715367323464,18.865034341812134,0,0.0
ft0_lr002,66,0.18701267533302307,93.66,99.8,0.7554727391004562,80.2,98.6125,0.008694738077799483,14.746848583221436,0,0.0
ft0_lr002,67,0.17631709802150727,94.14,99.82,0.735167254447937,80.6875,98.6125,0.008435655349597688,20.445363759994507,0,0.0
ft0_lr002,68,0.17323187842369078,93.9,99.92,0.789644199848175,79.675,98.5875,0.008177644745078524,18.26654863357544,0,0.0
ft0_lr002,69,0.17993068764209746,94.28,99.84,0.7560694295167923,80.125,98.65,0.007920883091822402,16.385782480239868,0,0.0
ft0_lr002,70,0.17628467044830323,94.06,99.86,0.7967465772628785,79.725,98.675,0.007665546361440943,20.22584319114685,0,0.0
ft0_lr002,71,0.1662649618625641,94.16,99.86,0.7571363899707794,81.0,98.775,0.00741180954897479,19.975221157073975,0,0.0
ft0_lr002,72,0.16735690064430236,94.2,99.92,0.7512653436660767,80.4875,98.75,0.00715984655296077,19.978991985321045,0,0.0
ft0_lr002,73,0.17442329387664796,93.96,99.86,0.7134799938201905,81.1875,98.8,0.006909830056250524,19.811142683029175,0,0.0
ft0_lr002,74,0.1684874202489853,94.54,99.78,0.7240809376239776,81.675,98.9375,0.006661931407662289,14.371929407119751,0,0.0
ft0_lr002,75,0.1379314074039459,95.62,99.88,0.741911987900734,81.625,98.8625,0.006416320504546995,20.550137042999268,0,0.0
ft0_lr002,76,0.14908252365589142,95.24,99.82,0.6829162472486496,82.2375,98.9875,0.0061731656763491,20.47801637649536,0,0.0
ft0_lr002,77,0.12982848527431487,95.94,99.88,0.7406091277599335,81.3375,98.825,0.005932633569241996,14.128901720046997,0,0.0
ft0_lr002,78,0.12317490525245667,95.68,99.88,0.7732626121044159,80.675,98.7125,0.005694889031917049,20.04077410697937,0,0.0
ft0_lr002,79,0.1153499652147293,96.12,99.92,0.758012859582901,81.1125,98.9,0.00546009500260453,20.334379196166992,0,0.0
ft0_lr002,80,0.12917498285770415,95.54,99.92,0.7746820191144943,81.225,98.5375,0.005228412397403913,20.018895626068115,0,0.0
ft0_lr002,81,0.12069449825286865,96.04,99.92,0.7627054294347763,81.2375,98.7125,0.004999999999999999,20.28484344482422,0,0.0
ft0_lr002,82,0.1325307179927826,95.58,99.92,0.7822229249477386,80.7125,98.725,0.004775014352840509,19.36389660835266,0,0.0
ft0_lr002,83,0.1261660796880722,95.96,99.98,0.74010364985466,81.6125,98.7625,0.00455360964984973,14.76130199432373,0,0.0
ft0_lr002,84,0.12244957299232483,95.8,99.9,0.7481753250360489,81.275,98.7375,0.004335937630751667,20.992988348007202,0,0.0
ft0_lr002,85,0.11600372643470765,96.52,99.84,0.7562322504520417,81.4375,98.7,0.004122147477075267,20.660895824432373,0,0.0
ft0_lr002,86,0.10393262321949005,96.78,99.98,0.7653763165473938,81.45,98.6,0.003912385709912791,27.57861590385437,0,0.0
ft0_lr002,87,0.0961735277891159,96.62,99.96,0.7339884033203125,81.8375,98.7625,0.003706796089501625,29.55026078224182,0,0.0
ft0_lr002,88,0.09840229301452637,96.6,99.9,0.7565761196613312,81.7625,98.7125,0.0035055195166981625,25.560262441635132,0,0.0
ft0_lr002,89,0.1058325266122818,96.72,99.96,0.7678128061294556,81.7375,98.6625,0.003308693936411419,24.043549060821533,0,0.0
ft0_lr002,90,0.08209822123050689,97.2,99.98,0.7538217425346374,81.7875,98.8125,0.0031164542430624567,21.37637710571289,0,0.0
ft0_lr002,91,0.0933534435749054,96.86,99.92,0.755535585641861,81.575,98.9625,0.0029289321881345236,17.520135402679443,0,0.0
ft0_lr002,92,0.08257081837654114,97.16,100.0,0.7374668972492218,82.375,98.8625,0.002746256289877122,15.349944353103638,0,0.0
ft0_lr002,93,0.09429453234672547,96.74,99.96,0.755559583902359,81.9,98.7625,0.0025685517452260576,19.161618947982788,0,0.0
ft0_lr002,94,0.08706693096160889,97.0,99.9,0.7455008149147033,82.1125,98.75,0.00239594034399969,18.1069176197052,0,0.0
ft0_lr002,95,0.08117636668682099,97.32,100.0,0.74067240691185,82.375,98.825,0.0022285403854302903,14.20864224433899,0,0.0
ft0_lr002,96,0.08785682091712951,96.86,99.98,0.7522379174232483,82.0375,98.7625,0.0020664665970876466,18.453340768814087,0,0.0
ft0_lr002,97,0.08698390233516694,97.34,99.94,0.7508393135070801,82.1625,98.8125,0.0019098300562505259,18.875739097595215,0,0.0
ft0_lr002,98,0.08869877650737762,96.8,99.98,0.7356179752349854,82.6125,98.8,0.0017587381137798446,18.49374222755432,0,0.0
ft0_lr002,99,0.08130342800617218,97.28,99.96,0.7364397504329682,82.225,98.8125,0.0016132943205457602,18.75005793571472,0,0.0
ft0_lr002,100,0.08258143837451935,97.32,99.96,0.7457930805683136,82.3,98.875,0.001473598356459078,17.500903129577637,0,0.0
ft0_lr002,101,0.08552476615905762,97.18,99.96,0.7460930318832397,82.3375,98.875,0.0013397459621556128,15.556065797805786,0,0.0
ft0_lr002,102,0.0705705379486084,97.66,99.98,0.7443765807151794,82.3625,98.875,0.001211828873380347,19.720179080963135,0,0.0
ft0_lr002,103,0.0684900634765625,97.56,99.96,0.7531654443740845,82.1875,98.825,0.001089934758116322,18.083821058273315,0,0.0
ft0_lr002,104,0.065051003575325,98.02,99.88,0.7578518924713135,82.0625,98.9,0.0009741471565013958,15.8475980758667,0,0.0
ft0_lr002,105,0.0679171959400177,97.62,99.98,0.7557945806980133,82.2125,98.825,0.0008645454235739901,19.341527462005615,0,0.0
ft0_lr002,106,0.06888883237838746,97.68,99.96,0.7510746173858642,82.025,98.825,0.0007612046748871325,19.554351329803467,0,0.0
ft0_lr002,107,0.07066704161167145,97.62,99.94,0.7547782416343689,82.225,98.8,0.0006641957350279825,19.65134310722351,0,0.0
ft0_lr002,108,0.07292276442050934,97.64,99.94,0.7527107388973237,82.55,98.7625,0.0005735850890782167,20.14244771003723,0,0.0
ft0_lr002,109,0.06914034309387207,97.62,100.0,0.7613427019119263,82.375,98.8,0.0004894348370484647,18.28764319419861,0,0.0
ft0_lr002,110,0.0762498551607132,97.46,99.94,0.7554379632472992,82.4625,98.925,0.00041180265131807056,16.582130908966064,0,0.0
ft0_lr002,111,0.06529073593616486,97.9,99.98,0.7475243372917175,82.475,98.7875,0.0003407417371093168,20.447722911834717,0,0.0
ft0_lr002,112,0.06829066233634949,97.62,99.96,0.7449621138572693,82.6,98.9125,0.0002763007960232344,18.325273752212524,0,0.0
ft0_lr002,113,0.07738832800388336,97.48,99.94,0.7397812142372131,82.7,98.8375,0.00021852399266194308,16.23995089530945,0,0.0
ft0_lr002,114,0.06420248377323151,98.02,99.98,0.7417718448638916,82.4625,98.85,0.0001674509243604549,23.80197501182556,0,0.0
ft0_lr002,115,0.058887416672706604,97.96,100.0,0.735617493391037,82.4375,98.8625,0.00012311659404862338,27.927984476089478,0,0.0
ft0_lr002,116,0.0743565693616867,97.62,99.98,0.756147370815277,82.525,98.825,8.555138626189616e-05,28.134602785110474,0,0.0
ft0_lr002,117,0.0699200210094452,97.9,99.98,0.7493728466033935,82.6,98.9125,5.4781046317265984e-05,28.050750017166138,0,0.0
ft0_lr002,118,0.07213741776943207,97.66,99.98,0.7456369647979736,82.475,98.825,3.082666266872035e-05,27.357747077941895,0,0.0
ft0_lr002,119,0.05883072679042816,98.04,99.94,0.7503394184112548,82.525,98.85,1.3704652454261664e-05,22.1120548248291,0,0.0
ft0_lr002,120,0.07088974368572235,97.66,99.92,0.76257004404068,82.35,98.875,3.4267502444274e-06,24.890177249908447,0,0.0
